PRIMARY_COM_NAME;SCI_NAME
Zoothera sp.;Zoothera sp.
Fruit-hunter;Chlamydochaera jefferyi
Purple Cochoa;Cochoa purpurea
Green Cochoa;Cochoa viridis
Purple/Green Cochoa;Cochoa purpurea/viridis
Sumatran Cochoa;Cochoa beccarii
Javan Cochoa;Cochoa azurea
Varied Thrush;Ixoreus naevius
Black-billed Nightingale-Thrush;Catharus gracilirostris
Orange-billed Nightingale-Thrush;Catharus aurantiirostris
Orange-billed Nightingale-Thrush (Brown-headed);Catharus aurantiirostris [melpomene Group]
Orange-billed Nightingale-Thrush (Gray-headed);Catharus aurantiirostris [griseiceps Group]
Orange-billed Nightingale-Thrush (Orange-billed);Catharus aurantiirostris [aurantiirostris Group]
Slaty-backed Nightingale-Thrush;Catharus fuscater
Slaty-backed Nightingale-Thrush (Talamanca);Catharus fuscater hellmayri
Slaty-backed Nightingale-Thrush (Pirre);Catharus fuscater mirabilis
Slaty-backed Nightingale-Thrush (Darien);Catharus fuscater arcanus
Slaty-backed Nightingale-Thrush (Cordilleran);Catharus fuscater fuscater/sanctaemartae
Slaty-backed Nightingale-Thrush (Antioquia);Catharus fuscater opertaneus/tenebris
Slaty-backed Nightingale-Thrush (Trans-Andean);Catharus fuscater [berlepschi Group]
Slaty-backed Nightingale-Thrush (Bolivian);Catharus fuscater mentalis
Russet Nightingale-Thrush;Catharus occidentalis
Ruddy-capped Nightingale-Thrush;Catharus frantzii
Russet/Ruddy-capped Nightingale-Thrush;Catharus occidentalis/frantzii
Black-headed Nightingale-Thrush;Catharus mexicanus
Yellow-throated Nightingale-Thrush;Catharus dryas
Speckled Nightingale-Thrush;Catharus maculatus
Veery;Catharus fuscescens
Gray-cheeked Thrush;Catharus minimus
Bicknell's Thrush;Catharus bicknelli
Veery x Bicknell's Thrush (hybrid);Catharus fuscescens x bicknelli
Gray-cheeked/Bicknell's Thrush;Catharus minimus/bicknelli
Swainson's Thrush;Catharus ustulatus
Swainson's Thrush (Russet-backed);Catharus ustulatus [ustulatus Group]
Swainson's Thrush (Olive-backed);Catharus ustulatus [swainsoni Group]
Hermit Thrush;Catharus guttatus
Hermit Thrush (guttatus Group);Catharus guttatus [guttatus Group]
Hermit Thrush (auduboni Group);Catharus guttatus [auduboni Group]
Hermit Thrush (faxoni/crymophilus);Catharus guttatus faxoni/crymophilus
Catharus sp.;Catharus sp.
Wood Thrush;Hylocichla mustelina
Black Solitaire;Entomodestes coracinus
White-eared Solitaire;Entomodestes leucotis
Rufous-brown Solitaire;Cichlopsis leucogenys
Rufous-brown Solitaire (Chestnut-throated);Cichlopsis leucogenys chubbi
Rufous-brown Solitaire (Peruvian);Cichlopsis leucogenys peruviana
Rufous-brown Solitaire (Guianan);Cichlopsis leucogenys gularis
Rufous-brown Solitaire (Rufous-brown);Cichlopsis leucogenys leucogenys
Aztec Thrush;Ridgwayia pinicola
Siberian Thrush;Geokichla sibirica
Siberian Thrush (Continental);Geokichla sibirica sibirica
Siberian Thrush (Sakhalin);Geokichla sibirica davisoni
Pied Thrush;Geokichla wardii
Spotted Ground-Thrush;Geokichla guttata
Spotted Ground-Thrush (Lotti);Geokichla guttata maxis
Spotted Ground-Thrush (Upemba);Geokichla guttata lippensi
Spotted Ground-Thrush (Spotted);Geokichla guttata [guttata Group]
Black-eared Ground-Thrush;Geokichla camaronensis
Black-eared Ground-Thrush (Cameroon);Geokichla camaronensis camaronensis
Black-eared Ground-Thrush (Grauer's);Geokichla camaronensis graueri
Gray Ground-Thrush;Geokichla princei
Gray Ground-Thrush (Prince's);Geokichla princei princei
Gray Ground-Thrush (Bates's);Geokichla princei batesi
Crossley's Ground-Thrush;Geokichla crossleyi
Crossley's Ground-Thrush (Crossley's);Geokichla crossleyi crossleyi
Crossley's Ground-Thrush (Itombwe);Geokichla crossleyi pilettei
Oberländer's Ground-Thrush;Geokichla oberlaenderi
Abyssinian Ground-Thrush;Geokichla piaggiae
Abyssinian Ground-Thrush (Abyssinian);Geokichla piaggiae [piaggiae Group]
Abyssinian Ground-Thrush (Kivu);Geokichla piaggiae tanganjicae
Orange Ground-Thrush;Geokichla gurneyi
Spot-winged Thrush;Geokichla spiloptera
Ashy Thrush;Geokichla cinerea
Buru Thrush;Geokichla dumasi
Seram Thrush;Geokichla joiceyi
Chestnut-capped Thrush;Geokichla interpres
Enggano Thrush;Geokichla leucolaema
Chestnut-backed Thrush;Geokichla dohertyi
Orange-banded Thrush;Geokichla peronii
Slaty-backed Thrush;Geokichla schistacea
Rusty-backed Thrush;Geokichla erythronota
Red-and-black Thrush;Geokichla mendeni
Orange-headed Thrush;Geokichla citrina
Orange-headed Thrush (Orange-headed);Geokichla citrina [citrina Group]
Orange-headed Thrush (White-throated);Geokichla citrina cyanota
Orange-headed Thrush (Plain-winged);Geokichla citrina albogularis/andamanensis
Orange-headed Thrush (Buff-throated);Geokichla citrina [aurimacula Group]
Geokichla sp.;Geokichla sp.
Chinese Thrush;Turdus mupinensis
Ethiopian Thrush;Turdus simensis
Groundscraper Thrush;Turdus litsitsirupa
Mistle Thrush;Turdus viscivorus
Song Thrush;Turdus philomelos
African Bare-eyed Thrush;Turdus tephronotus
Somali Thrush;Turdus ludoviciae
Yemen Thrush;Turdus menachensis
Chinese Blackbird;Turdus mandarinus
Comoro Thrush;Turdus bewsheri
Kurrichane Thrush;Turdus libonyana
Olive Thrush;Turdus olivaceus
Abyssinian Thrush;Turdus abyssinicus
Abyssinian Thrush (Ngorongoro);Turdus abyssinicus oldeani
Abyssinian Thrush (Abyssinian);Turdus abyssinicus [abyssinicus Group]
Taita Thrush;Turdus helleri
Usambara Thrush;Turdus roehli
Principe Thrush;Turdus xanthorhynchus
Sao Tome Thrush;Turdus olivaceofuscus
Taiwan Thrush;Turdus niveiceps
Gray-winged Blackbird;Turdus boulboul
Indian Blackbird;Turdus simillimus
Indian Blackbird (Indian);Turdus simillimus simillimus/bourdilloni
Indian Blackbird (Black-capped);Turdus simillimus nigropileus
Indian Blackbird (Sri Lanka);Turdus simillimus kinnisii
African Thrush;Turdus pelios
African Thrush (African);Turdus pelios [pelios Group]
African Thrush (Black-lored);Turdus pelios nigrilorum/poensis
African Thrush (Orange-bellied);Turdus pelios stormsi/graueri
Karoo Thrush;Turdus smithi
Olive x Karoo Thrush (hybrid);Turdus olivaceus x smithi
Olive/Karoo Thrush;Turdus olivaceus/smithi
Redwing;Turdus iliacus
Redwing (Icelandic);Turdus iliacus coburni
Redwing (Eurasian);Turdus iliacus iliacus
Eurasian Blackbird;Turdus merula
Tickell's Thrush;Turdus unicolor
Black-breasted Thrush;Turdus dissimilis
Gray-backed Thrush;Turdus hortulorum
Japanese Thrush;Turdus cardis
Black-breasted x Japanese Thrush (hybrid);Turdus dissimilis x cardis
Mindoro Island-Thrush;Turdus mindorensis
Luzon Island-Thrush;Turdus thomassoni
Luzon Island-Thrush (undescribed Sibuyan form);Turdus thomassoni [undescribed Sibuyan form]
Mindanao Island-Thrush;Turdus nigrorum
Mindanao Island-Thrush (Negros);Turdus nigrorum nigrorum
Mindanao Island-Thrush (Malindang);Turdus nigrorum malindangensis
Mindanao Island-Thrush (Katanglad);Turdus nigrorum katanglad
Mindanao Island-Thrush (Apo);Turdus nigrorum kelleri
Mindanao Island-Thrush (undescribed Mt. Busa form);Turdus nigrorum [undescribed Mt. Busa form]
Panay Island-Thrush (undescribed Panay form);Turdus [undescribed Panay form]
Christmas Island-Thrush;Turdus erythropleurus
Wallacean Island-Thrush;Turdus schlegelii
Wallacean Island-Thrush (Latimojong);Turdus schlegelii hygroscopus
Wallacean Island-Thrush (Lompobattang);Turdus schlegelii celebensis
Wallacean Island-Thrush (Schlegel's);Turdus schlegelii schlegelii
Wallacean Island-Thrush (Sterling's);Turdus schlegelii sterlingi
Sundaic Island-Thrush;Turdus javanicus
Sundaic Island-Thrush (Loeser's);Turdus javanicus loeseri
Sundaic Island-Thrush (Sumatran);Turdus javanicus indrapurae
Sundaic Island-Thrush (Sooty);Turdus javanicus fumidus/biesenbachi
Sundaic Island-Thrush (Central Javan);Turdus javanicus javanicus
Sundaic Island-Thrush (Stresemann's);Turdus javanicus whiteheadi/stresemanni
Sundaic Island-Thrush (Bornean);Turdus javanicus seebohmi
Moluccan Island-Thrush;Turdus deningeri
Moluccan Island-Thrush (Taliabu);Turdus deningeri sukahujan
Moluccan Island-Thrush (Seram);Turdus deningeri deningeri
Papuan Island-Thrush;Turdus papuensis
Papuan Island-Thrush (Jayawijaya);Turdus papuensis versteegi
Papuan Island-Thrush (Ashy);Turdus papuensis erebus
Papuan Island-Thrush (Papuan);Turdus papuensis papuensis
Papuan Island-Thrush (Huon);Turdus papuensis keysseri
Papuan Island-Thrush (Goodenough);Turdus papuensis canescens
Bismarck Island-Thrush;Turdus heinrothi
Bougainville Island-Thrush;Turdus bougainvillei
Solomons Island-Thrush;Turdus kulambangrae
Solomons Island-Thrush (Kolombangara);Turdus kulambangrae kulambangrae
Solomons Island-Thrush (Guadalcanal);Turdus kulambangrae sladeni
Vanikoro Island-Thrush;Turdus vanikorensis
Vanikoro Island-Thrush (Rennell);Turdus vanikorensis rennellianus
Vanikoro Island-Thrush (Mare);Turdus vanikorensis mareensis
Vanikoro Island-Thrush (Vanuatu);Turdus vanikorensis [vanikorensis Group]
Vanikoro Island-Thrush (Ureparapara);Turdus vanikorensis placens
Vanikoro Island-Thrush (Efate);Turdus vanikorensis efatensis
White-headed Island-Thrush;Turdus pritzbueri
New Caledonian Island-Thrush;Turdus xanthopus
Tasman Sea Island-Thrush;Turdus poliocephalus
Tasman Sea Island-Thrush (Lord Howe I.);Turdus poliocephalus vinitinctus
Tasman Sea Island-Thrush (Norfolk I.);Turdus poliocephalus poliocephalus
Samoan Island-Thrush;Turdus samoensis
Fiji Island-Thrush;Turdus ruficeps
Fiji Island-Thrush (Viti Levu);Turdus ruficeps layardi
Fiji Island-Thrush (Kadavu);Turdus ruficeps ruficeps
Fiji Island-Thrush (Vanua Levu);Turdus ruficeps vitiensis
Fiji Island-Thrush (Gau);Turdus ruficeps hades
Fiji Island-Thrush (Taveuni);Turdus ruficeps tempesti
Tibetan Blackbird;Turdus maximus
White-backed Thrush;Turdus kessleri
Pale Thrush;Turdus pallidus
Eyebrowed Thrush;Turdus obscurus
Gray-sided Thrush;Turdus feae
Eyebrowed/Gray-sided Thrush;Turdus obscurus/feae
Izu Thrush;Turdus celaenops
Brown-headed Thrush;Turdus chrysolaus
Fieldfare;Turdus pilaris
White-collared Blackbird;Turdus albocinctus
Chestnut Thrush;Turdus rubrocanus
Chestnut Thrush (Silver-headed);Turdus rubrocanus rubrocanus
Chestnut Thrush (Gray-headed);Turdus rubrocanus gouldii
Ring Ouzel;Turdus torquatus
Ring Ouzel (Northern);Turdus torquatus torquatus
Ring Ouzel (Alpine);Turdus torquatus alpestris
Ring Ouzel (Caucasian);Turdus torquatus amicorum
Black-throated Thrush;Turdus atrogularis
Red-throated Thrush;Turdus ruficollis
Black-throated x Red-throated Thrush (hybrid);Turdus atrogularis x ruficollis
Black-throated/Red-throated Thrush;Turdus atrogularis/ruficollis
Dusky Thrush;Turdus eunomus
Naumann's Thrush;Turdus naumanni
Black-throated x Naumann's Thrush (hybrid);Turdus atrogularis x naumanni
Red-throated x Naumann's Thrush (hybrid);Turdus ruficollis x naumanni
Dusky x Naumann's Thrush (hybrid);Turdus eunomus x naumanni
Dusky/Naumann's Thrush;Turdus eunomus/naumanni
Sulawesi Thrush;Turdus turdoides
Grand Cayman Thrush;Turdus ravidus
White-chinned Thrush;Turdus aurantius
Western Red-legged Thrush;Turdus plumbeus
Western Red-legged Thrush (Bahamas);Turdus plumbeus plumbeus
Western Red-legged Thrush (Rusty-bellied);Turdus plumbeus [rubripes Group]
Western Red-legged Thrush (Cuban Slaty);Turdus plumbeus schistaceus
Western Red-legged Thrush (Rusty-bellied x Cuban Slaty);Turdus plumbeus rubripes x schistaceus
Eastern Red-legged Thrush;Turdus ardosiaceus
Black Thrush;Turdus infuscatus
Sooty Thrush;Turdus nigrescens
Rufous-collared Robin;Turdus rufitorques
American Robin;Turdus migratorius
American Robin (nigrideus);Turdus migratorius nigrideus
American Robin (migratorius Group);Turdus migratorius [migratorius Group]
American Robin (San Lucas);Turdus migratorius confinis
Varied Thrush/American Robin;Ixoreus naevius/Turdus migratorius
Rufous-backed Robin;Turdus rufopalliatus
Rufous-backed Robin (Rufous-backed);Turdus rufopalliatus rufopalliatus
Rufous-backed Robin (Grayson's);Turdus rufopalliatus graysoni
Mountain Thrush;Turdus plebejus
La Selle Thrush;Turdus swalesi
White-eyed Thrush;Turdus jamaicensis
Pale-eyed Thrush;Turdus leucops
Forest Thrush;Turdus lherminieri
Chestnut-bellied Thrush;Turdus fulviventris
Plumbeous-backed Thrush;Turdus reevei
Glossy-black Thrush;Turdus serranus
Black-hooded Thrush;Turdus olivater
Andean Slaty Thrush;Turdus nigriceps
Great Thrush;Turdus fuscater
Great Thrush (Santa Marta);Turdus fuscater cacozelus
Great Thrush (Great);Turdus fuscater [gigas Group]
Great Thrush (Black);Turdus fuscater ockendeni
Great Thrush (Bolivian);Turdus fuscater fuscater
Chiguanco Thrush;Turdus chiguanco
Chiguanco Thrush (chiguanco/conradi);Turdus chiguanco chiguanco/conradi
Chiguanco Thrush (anthracinus);Turdus chiguanco anthracinus
Great/Chiguanco Thrush;Turdus fuscater/chiguanco
Austral Thrush;Turdus falcklandii
Austral Thrush (Magellan);Turdus falcklandii magellanicus/pembertoni
Austral Thrush (Falkland);Turdus falcklandii falcklandii
Tristan Thrush;Turdus eremita
Creamy-bellied Thrush;Turdus amaurochalinus
Black-billed Thrush;Turdus ignobilis
Black-billed Thrush (Drab);Turdus ignobilis ignobilis/goodfellowi
Black-billed Thrush (Amazonian);Turdus ignobilis debilis
Campina Thrush;Turdus arthuri
Black-billed/Campina Thrush;Turdus ignobilis/arthuri
Marañon Thrush;Turdus maranonicus
Yellow-legged Thrush;Turdus flavipes
Blacksmith Thrush;Turdus subalaris
Pantepui Thrush;Turdus murinus
Campina/Pantepui Thrush;Turdus arthuri/murinus
Lawrence's Thrush;Turdus lawrencii
Pale-vented Thrush;Turdus obsoletus
White-throated Thrush;Turdus assimilis
Dagua Thrush;Turdus daguae
White-necked Thrush;Turdus albicollis
White-necked Thrush (Gray-flanked);Turdus albicollis [phaeopygus Group]
White-necked Thrush (Rufous-flanked);Turdus albicollis [albicollis Group]
Pale-breasted Thrush;Turdus leucomelas
Hauxwell's Thrush;Turdus hauxwelli
Cocoa Thrush;Turdus fumigatus
Cocoa Thrush (Lesser Antillean);Turdus fumigatus personus
Cocoa Thrush (Cocoa);Turdus fumigatus [fumigatus Group]
Rufous-bellied Thrush;Turdus rufiventris
Unicolored Thrush;Turdus haplochrous
Spectacled Thrush;Turdus nudigenis
Varzea Thrush;Turdus sanchezorum
Hauxwell's/Varzea Thrush;Turdus hauxwelli/sanchezorum
Ecuadorian Thrush;Turdus maculirostris
Clay-colored Thrush;Turdus grayi
Turdus sp.;Turdus sp.
thrush sp.;Turdidae sp.
Gray-streaked Flycatcher;Muscicapa griseisticta
Dark-sided Flycatcher;Muscicapa sibirica
Dark-sided Flycatcher (Siberian);Muscicapa sibirica sibirica
Dark-sided Flycatcher (Himalayan);Muscicapa sibirica [cacabata Group]
Gray-streaked/Dark-sided Flycatcher;Muscicapa griseisticta/sibirica
Ferruginous Flycatcher;Muscicapa ferruginea
Asian Brown Flycatcher;Muscicapa dauurica
Asian Brown Flycatcher (Northern);Muscicapa dauurica dauurica
Asian Brown Flycatcher (Southern);Muscicapa dauurica poonensis/siamensis
Ashy-breasted Flycatcher;Muscicapa randi
Sumba Brown Flycatcher;Muscicapa segregata
Brown-breasted Flycatcher;Muscicapa muttui
Asian Brown/Brown-breasted Flycatcher;Muscicapa dauurica/muttui
Sulawesi Brown Flycatcher;Muscicapa sodhii
Brown-streaked Flycatcher;Muscicapa williamsoni
Brown-streaked Flycatcher (Brown-streaked);Muscicapa williamsoni williamsoni
Brown-streaked Flycatcher (Umber);Muscicapa williamsoni umbrosa
Asian Brown/Brown-streaked Flycatcher;Muscicapa dauurica/williamsoni
African Dusky Flycatcher;Muscicapa adusta
Little Flycatcher;Muscicapa epulata
Yellow-footed Flycatcher;Muscicapa sethsmithi
Little/Yellow-footed Flycatcher;Muscicapa epulata/sethsmithi
Spotted Flycatcher;Muscicapa striata
Spotted Flycatcher (Spotted);Muscicapa striata [striata Group]
Spotted Flycatcher (Mediterranean);Muscicapa striata tyrrhenica/balearica
African Dusky/Spotted Flycatcher;Muscicapa adusta/striata
Gambaga Flycatcher;Muscicapa gambagae
Spotted/Gambaga Flycatcher;Muscicapa striata/gambagae
African Dusky/Spotted/Gambaga Flycatcher;Muscicapa adusta/striata/gambagae
Swamp Flycatcher;Muscicapa aquatica
Cassin's Flycatcher;Muscicapa cassini
Muscicapa sp.;Muscicapa sp.
Böhm's Flycatcher;Myopornis boehmi
Ussher's Flycatcher;Artomyias ussheri
Sooty Flycatcher;Artomyias fuliginosa
Dusky-blue Flycatcher;Bradornis comitatus
Marico Flycatcher;Bradornis mariquensis
African Gray Flycatcher;Bradornis microrhynchus
African Gray Flycatcher (Ethiopian);Bradornis microrhynchus pumilus
African Gray Flycatcher (African Gray);Bradornis microrhynchus [microrhynchus Group]
Gambaga/African Gray Flycatcher;Muscicapa gambagae/Bradornis microrhynchus
Bradornis sp.;Bradornis sp.
Muscicapa/Bradornis sp.;Muscicapa/Bradornis sp.
Pale Flycatcher;Agricola pallidus
Pale Flycatcher (Pale);Agricola pallidus [pallidus Group]
Pale Flycatcher (Wajir);Agricola pallidus bafirawari
Pale Flycatcher (East Coast);Agricola pallidus subalaris/erlangeri
Marico/Pale Flycatcher;Bradornis mariquensis/Agricola pallidus
Chat Flycatcher;Agricola infuscatus
White-browed Forest-Flycatcher;Fraseria cinerascens
African Forest-Flycatcher;Fraseria ocreata
African Forest-Flycatcher (Western);Fraseria ocreata prosphora/kelsalli
African Forest-Flycatcher (Eastern);Fraseria ocreata ocreata
Gray-throated Tit-Flycatcher;Fraseria griseigularis
Gray Tit-Flycatcher;Fraseria plumbea
Olivaceous Flycatcher;Fraseria olivascens
Olivaceous Flycatcher (Olivaceous);Fraseria olivascens olivascens
Olivaceous Flycatcher (Mt. Nimba);Fraseria olivascens nimbae
Chapin's Flycatcher;Fraseria lendu
Chapin's Flycatcher (Chapin's);Fraseria lendu lendu
Chapin's Flycatcher (Itombwe);Fraseria lendu itombwensis
Tessmann's Flycatcher;Fraseria tessmanni
Ashy Flycatcher;Fraseria caerulescens
Herero Chat;Namibornis herero
Silverbird;Empidornis semipartitus
Fiscal Flycatcher;Sigelus silens
Yellow-eyed Black-Flycatcher;Melaenornis ardesiacus
Nimba Flycatcher;Melaenornis annamarulae
Northern Black-Flycatcher;Melaenornis edolioides
Southern Black-Flycatcher;Melaenornis pammelaina
White-eyed Slaty-Flycatcher;Melaenornis fischeri
Angola Slaty-Flycatcher;Melaenornis brunneus
Abyssinian Slaty-Flycatcher;Melaenornis chocolatinus
Grande Comore Flycatcher;Humblotia flavirostris
White-tailed Alethe;Alethe diademata
Fire-crested Alethe;Alethe castanea
Karoo Scrub-Robin;Tychaedon coryphoeus
Forest Scrub-Robin;Tychaedon leucosticta
Forest Scrub-Robin (Forest);Tychaedon leucosticta [leucosticta Group]
Forest Scrub-Robin (Huila);Tychaedon leucosticta reichenowi
Brown Scrub-Robin;Tychaedon signata
Bearded Scrub-Robin;Tychaedon quadrivirgata
Bearded Scrub-Robin (Bearded);Tychaedon quadrivirgata quadrivirgata
Bearded Scrub-Robin (Zanzibar);Tychaedon quadrivirgata greenwayi
Miombo Scrub-Robin;Tychaedon barbata
Black Scrub-Robin;Cercotrichas podobe
Rufous-tailed Scrub-Robin;Cercotrichas galactotes
Rufous-tailed Scrub-Robin (Rufous-tailed);Cercotrichas galactotes [galactotes Group]
Rufous-tailed Scrub-Robin (African);Cercotrichas galactotes minor/hamertoni
Kalahari Scrub-Robin;Cercotrichas paena
Brown-backed Scrub-Robin;Cercotrichas hartlaubi
White-browed Scrub-Robin;Cercotrichas leucophrys
White-browed Scrub-Robin (White-winged);Cercotrichas leucophrys [leucoptera Group]
White-browed Scrub-Robin (Red-backed);Cercotrichas leucophrys [leucophrys Group]
african scrub-robin sp.;Cercotrichas sp.
Indian Robin;Copsychus fulicatus
Oriental Magpie-Robin;Copsychus saularis
Oriental Magpie-Robin (Oriental);Copsychus saularis [saularis Group]
Oriental Magpie-Robin (Black);Copsychus saularis [amoenus Group]
Rufous-tailed Shama;Copsychus pyrropygus
Madagascar Magpie-Robin;Copsychus albospecularis
Madagascar Magpie-Robin (Black-bellied);Copsychus albospecularis albospecularis
Madagascar Magpie-Robin (White-bellied);Copsychus albospecularis inexspectatus
Madagascar Magpie-Robin (White-winged);Copsychus albospecularis pica
Seychelles Magpie-Robin;Copsychus sechellarum
Philippine Magpie-Robin;Copsychus mindanensis
White-rumped Shama;Copsychus malabaricus
White-rumped Shama (White-rumped);Copsychus malabaricus [malabaricus Group]
White-rumped Shama (Long-tailed);Copsychus malabaricus ngae
White-rumped Shama (Barusan);Copsychus malabaricus [melanurus Group]
Sri Lanka Shama;Copsychus leggei
White-crowned Shama;Copsychus stricklandii
Maratua Shama;Copsychus barbouri
Kangean Shama;Copsychus nigricauda
Andaman Shama;Copsychus albiventris
Larwo Shama;Copsychus omissus
White-browed Shama;Copsychus luzoniensis
Visayan Shama;Copsychus superciliaris
White-vented Shama;Copsychus niger
Black Shama;Copsychus cebuensis
White-tailed Flycatcher;Leucoptilon concretum
Nilgiri Sholakili;Sholicola major
White-bellied Sholakili;Sholicola albiventris
Large Niltava;Niltava grandis
Large Niltava (Large);Niltava grandis [grandis Group]
Large Niltava (Dalat);Niltava grandis decorata
Small Niltava;Niltava macgrigoriae
Large/Small Niltava;Niltava grandis/macgrigoriae
Fujian Niltava;Niltava davidi
Rufous-bellied Niltava;Niltava sundara
Rufous-vented Niltava;Niltava sumatrana
Chinese Vivid Niltava;Niltava oatesi
Fujian/Rufous-bellied/Chinese Vivid Niltava;Niltava davidi/sundara/oatesi
Taiwan Vivid Niltava;Niltava vivida
niltava sp.;Niltava sp.
Blue-and-white Flycatcher;Cyanoptila cyanomelana
Zappey's Flycatcher;Cyanoptila cumatilis
Blue-and-white/Zappey's Flycatcher;Cyanoptila cyanomelana/cumatilis
Matinan Flycatcher;Eumyias sanfordi
Blue-fronted Flycatcher;Eumyias hoevelli
Timor Blue Flycatcher;Eumyias hyacinthinus
Flores Jungle Flycatcher;Eumyias oscillans
Sumba Jungle Flycatcher;Eumyias stresemanni
Dull-blue Flycatcher;Eumyias sordidus
Nilgiri Flycatcher;Eumyias albicaudatus
Indigo Flycatcher;Eumyias indigo
Indigo Flycatcher (Rufous-vented);Eumyias indigo ruficrissa/cerviniventris
Indigo Flycatcher (Javan);Eumyias indigo indigo
Verditer Flycatcher;Eumyias thalassinus
Nilgiri/Verditer Flycatcher;Eumyias albicaudatus/thalassinus
Buru Jungle Flycatcher;Eumyias additus
Turquoise Flycatcher;Eumyias panayensis
White-gorgeted Flycatcher;Anthipes monileger
Rufous-browed Flycatcher;Anthipes solitaris
Rück's Blue Flycatcher;Cyornis ruckii
Blue-breasted Blue Flycatcher;Cyornis herioti
Rufous-breasted Blue Flycatcher;Cyornis camarinensis
Blue-breasted/Rufous-breasted Blue Flycatcher;Cyornis herioti/camarinensis
Hainan Blue Flycatcher;Cyornis hainanus
Hainan Blue Flycatcher (Western Orange-breasted);Cyornis hainanus dialilaemus
Hainan Blue Flycatcher (Blue-breasted);Cyornis hainanus hainanus
Hainan Blue Flycatcher (Eastern Orange-breasted);Cyornis hainanus klossi
White-bellied Blue Flycatcher;Cyornis pallidipes
Pale-chinned Flycatcher;Cyornis poliogenys
Pale Blue Flycatcher;Cyornis unicolor
Pale Blue Flycatcher (Unicolored);Cyornis unicolor unicolor
Pale Blue Flycatcher (Diao Luo);Cyornis unicolor diaoluoensis
Pale Blue Flycatcher (Hartert's);Cyornis unicolor cyanopolia
Blue-throated Flycatcher;Cyornis rubeculoides
Chinese Blue Flycatcher;Cyornis glaucicomans
Blue-throated/Chinese Blue Flycatcher;Cyornis rubeculoides/glaucicomans
Hainan Blue/Blue-throated/Chinese Blue Flycatcher;Cyornis hainanus/rubeculoides/glaucicomans
Large Blue Flycatcher;Cyornis magnirostris
Hill Blue Flycatcher;Cyornis whitei
Large/Hill Blue Flycatcher;Cyornis magnirostris/whitei
Javan Blue Flycatcher;Cyornis banyumas
Dayak Blue Flycatcher;Cyornis montanus
Meratus Blue Flycatcher;Cyornis kadayangensis
Sunda Blue Flycatcher;Cyornis caerulatus
Malaysian Blue Flycatcher;Cyornis turcosus
Palawan Blue Flycatcher;Cyornis lemprieri
Bornean Blue Flycatcher;Cyornis superbus
Tickell's Blue Flycatcher;Cyornis tickelliae
Pale-chinned x Tickell's Blue Flycatcher (hybrid);Cyornis poliogenys x tickelliae
Blue-throated/Tickell's Blue Flycatcher;Cyornis rubeculoides/tickelliae
Indochinese Blue Flycatcher;Cyornis sumatrensis
Mangrove Blue Flycatcher;Cyornis rufigastra
Mangrove Blue Flycatcher (Mangrove);Cyornis rufigastra [rufigastra Group]
Mangrove Blue Flycatcher (Philippine);Cyornis rufigastra [blythi Group]
Sulawesi Blue Flycatcher;Cyornis omissus
Sulawesi Blue Flycatcher (Sulawesi);Cyornis omissus [omissus Group]
Sulawesi Blue Flycatcher (Tanahjampea);Cyornis omissus djampeanus
Kalao Blue Flycatcher;Cyornis kalaoensis
Brown-chested Jungle Flycatcher;Cyornis brunneatus
Nicobar Jungle Flycatcher;Cyornis nicobaricus
Gray-chested Jungle Flycatcher;Cyornis umbratilis
Fulvous-chested Jungle Flycatcher;Cyornis olivaceus
Philippine Jungle Flycatcher;Cyornis ruficauda
Sulu Jungle Flycatcher;Cyornis ocularis
Crocker Jungle Flycatcher;Cyornis ruficrissa
Banggai Jungle Flycatcher;Cyornis pelingensis
Sula Jungle Flycatcher;Cyornis colonus
Cyornis sp.;Cyornis sp.
White-bellied Robin-Chat;Cossyphicula roberti
White-bellied Robin-Chat (White-bellied);Cossyphicula roberti roberti
White-bellied Robin-Chat (Albertine);Cossyphicula roberti rufescentior
Mountain Robin-Chat;Cossyphicula isabellae
Mountain Robin-Chat (Highland);Cossyphicula isabellae batesi
Mountain Robin-Chat (Mountain);Cossyphicula isabellae isabellae
Archer's Robin-Chat;Dessonornis archeri
Archer's Robin-Chat (Archer's);Dessonornis archeri archeri
Archer's Robin-Chat (Kabobo);Dessonornis archeri kimbutui
Olive-flanked Robin-Chat;Dessonornis anomalus
Olive-flanked Robin-Chat (White-bellied);Dessonornis anomalus grotei
Olive-flanked Robin-Chat (Black);Dessonornis anomalus mbuluensis
Olive-flanked Robin-Chat (Olive-flanked);Dessonornis anomalus [anomalus Group]
Cape Robin-Chat;Dessonornis caffer
White-throated Robin-Chat;Dessonornis humeralis
Blue-shouldered Robin-Chat;Cossypha cyanocampter
Rüppell's Robin-Chat;Cossypha semirufa
White-browed Robin-Chat;Cossypha heuglini
Red-capped Robin-Chat;Cossypha natalensis
Chorister Robin-Chat;Cossypha dichroa
Red-capped x Chorister Robin-Chat (hybrid);Cossypha natalensis x dichroa
White-headed Robin-Chat;Cossypha heinrichi
Snowy-crowned Robin-Chat;Cossypha niveicapilla
White-crowned Robin-Chat;Cossypha albicapillus
robin-chat sp.;Cossypha sp.
Angola Cave-Chat;Xenocopsychus ansorgei
Collared Palm-Thrush;Cichladusa arquata
Rufous-tailed Palm-Thrush;Cichladusa ruficauda
Spotted Morning-Thrush;Cichladusa guttata
European Robin;Erithacus rubecula
